"",BBFBOPV.M.N.DE.W1.S121.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S121.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.B.IN1._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.B.IN1._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.D.G._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.D.G._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.B.IN2._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.B.IN2._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1P.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1P.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA._T.F._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA._T.F._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.C.IN1._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.C.IN1._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.B.G._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.B.G._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA.D.F._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA.D.F._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.B.S._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.B.S._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S12T.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S12T.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S121.S1.T.A.FA.R.F._Z.EUR.X1._X.N.ALL,BBFBOPV.M.N.DE.W1.S121.S1.T.A.FA.R.F._Z.EUR.X1._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.C.IN2._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.C.IN2._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA.P.F._Z.EUR._T.M.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA.P.F._Z.EUR._T.M.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.C.G._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.C.G._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.A.FA.F.F7.T.EUR._T.T.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.A.FA.F.F7.T.EUR._T.T.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.N.EO._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.N.EO._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.B.KA._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.B.KA._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.D.IN2._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.D.IN2._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S13.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S13.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.D.IN1._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.D.IN1._Z._Z._Z.EUR._T._X.N.ALL_FLAGS
1976-01,485.893,,2041.405,,1290.027,,339.825,,848.265,,7666.363,,-733.746,,822.542,,341.364,,1023.411,,1442.610,,60.982,,-751.378,,-190.112,,-327.656,,156.654,,-240.227,,9108.973,,-,Nothing exists,297.311,,59.162,,-15.108,,890.400,,-270.057,,683.586,
1976-02,-76.603,,1762.767,,1267.686,,124.040,,-868.213,,8102.897,,-604.297,,-805.967,,288.423,,849.661,,1576.488,,178.405,,-495.081,,-149.532,,988.664,,106.110,,-10.432,,9679.385,,-,Nothing exists,601.149,,-292.730,,-19.996,,710.408,,163.889,,725.621,
1976-03,779.577,,1991.096,,1595.270,,259.058,,-1677.695,,9133.388,,-634.580,,-708.812,,1807.454,,982.321,,2266.269,,181.964,,-395.826,,-1820.864,,3420.117,,133.727,,-116.931,,11399.657,,-,Nothing exists,1494.921,,328.327,,-15.795,,768.307,,72.404,,723.263,
1976-04,-66.415,,2163.676,,1298.007,,403.727,,1201.375,,8939.884,,-718.192,,129.292,,856.468,,1092.742,,1417.282,,326.608,,-865.669,,1042.753,,-468.119,,142.174,,-203.395,,10357.166,,-,Nothing exists,237.147,,646.790,,-27.470,,860.367,,95.745,,689.015,
1976-05,-45.948,,1993.171,,1443.488,,306.643,,1674.152,,8663.286,,-964.711,,1282.167,,707.000,,1034.869,,2162.420,,200.766,,-549.683,,284.729,,-938.272,,127.360,,-229.646,,10825.705,,-,Nothing exists,954.669,,-211.077,,-36.592,,1092.071,,153.204,,728.225,
1976-06,313.474,,2522.946,,1591.849,,173.587,,487.161,,9009.910,,-718.513,,337.749,,48.769,,1118.924,,1290.688,,94.486,,-931.097,,660.918,,-641.420,,214.699,,108.542,,10300.598,,-,Nothing exists,-185.336,,259.637,,-25.533,,933.212,,-824.980,,945.337,
1976-07,80.957,,2872.861,,1680.720,,281.136,,43.769,,9122.933,,-859.080,,851.509,,-335.778,,1115.308,,1387.807,,400.777,,-1192.140,,-390.927,,-550.388,,200.814,,-229.936,,10510.740,,-,Nothing exists,-382.277,,77.695,,-31.195,,1059.894,,-497.770,,834.172,
1976-08,-50.473,,2879.768,,1537.643,,293.531,,-2376.467,,8694.867,,-874.174,,-575.981,,-813.013,,1028.215,,860.322,,147.358,,-1342.125,,-1258.168,,1679.765,,119.343,,-263.670,,9555.189,,-,Nothing exists,-1062.445,,277.991,,-28.559,,993.516,,-491.846,,734.684,
1976-09,-804.972,,2763.707,,1664.025,,308.509,,-389.218,,8867.985,,-793.024,,324.638,,1014.766,,1056.133,,2618.897,,208.382,,-1099.682,,-31.167,,1569.551,,128.146,,-373.949,,11486.882,,-,Nothing exists,1034.700,,7.871,,-27.806,,921.170,,122.284,,747.624,
1976-10,-122.639,,2267.521,,1486.810,,233.949,,452.120,,9200.581,,-787.173,,-102.896,,1249.127,,939.637,,2252.382,,168.118,,-780.711,,354.213,,1041.590,,138.402,,-412.700,,11452.963,,-,Nothing exists,918.447,,356.932,,-26.251,,925.574,,323.443,,705.689,
1976-11,164.520,,1782.328,,1472.135,,458.175,,2592.468,,9152.156,,-716.727,,1029.793,,959.588,,1300.113,,1777.075,,71.266,,-310.194,,1371.117,,-1484.614,,144.996,,-219.532,,10929.231,,-,Nothing exists,1208.329,,-226.374,,-22.367,,861.723,,27.039,,841.938,
1976-12,-68.941,,2452.190,,1707.393,,-349.564,,-12.319,,10014.148,,-701.149,,1043.664,,15.545,,1004.480,,2015.455,,153.017,,-744.797,,-1188.274,,-70.773,,296.818,,-54.380,,12029.604,,-,Nothing exists,219.944,,-169.019,,-35.380,,997.968,,201.231,,1354.044,
1977-01,125.376,,2052.413,,1327.664,,465.552,,531.019,,8472.303,,-835.625,,76.980,,876.695,,1262.415,,1161.392,,307.923,,-724.749,,184.151,,-212.227,,251.473,,249.981,,9633.695,,-,Nothing exists,66.571,,807.636,,2.489,,1087.098,,144.512,,796.863,
1977-02,73.424,,1796.524,,1311.847,,1.915,,466.822,,8710.010,,-718.608,,-80.963,,666.418,,907.111,,1753.254,,91.346,,-484.678,,1011.671,,93.025,,174.120,,15.225,,10463.264,,-,Nothing exists,551.883,,138.134,,-23.599,,892.728,,-537.309,,905.196,
1977-03,-38.822,,2282.227,,1525.537,,546.783,,763.340,,10316.600,,-675.290,,136.219,,1408.596,,1423.958,,2357.376,,306.272,,-756.690,,217.118,,191.512,,169.945,,147.472,,12673.975,,-,Nothing exists,1472.179,,-40.584,,-22.999,,845.235,,448.825,,877.175,
1977-04,-40.455,,2152.258,,1378.362,,451.336,,396.143,,9057.040,,-840.195,,691.074,,414.122,,1109.896,,1749.755,,148.180,,-773.895,,-315.471,,-417.598,,160.990,,287.397,,10806.795,,-,Nothing exists,587.001,,-149.393,,-23.486,,1001.185,,60.995,,658.560,
1977-05,-23.435,,2138.309,,1539.947,,181.868,,496.863,,9344.323,,-917.006,,333.847,,849.983,,1151.535,,2024.702,,118.964,,-598.362,,18.523,,25.814,,175.846,,208.342,,11369.025,,-,Nothing exists,691.202,,190.471,,-31.690,,1092.851,,167.928,,969.667,
1977-06,210.638,,2621.410,,1797.976,,-148.196,,908.387,,9799.405,,-580.526,,-89.146,,1033.187,,1112.061,,1748.312,,20.560,,-823.434,,952.257,,-360.684,,246.851,,464.924,,11547.717,,-,Nothing exists,196.156,,859.874,,-22.843,,827.377,,-165.363,,1260.257,
1977-07,-207.322,,3388.152,,1686.279,,232.416,,-3320.394,,9397.070,,-993.745,,-1459.788,,-1836.569,,1082.213,,1491.889,,438.225,,-1701.873,,-1667.131,,1078.836,,219.127,,-33.236,,10888.959,,-,Nothing exists,-971.313,,-832.187,,-33.069,,1212.873,,13.847,,849.796,
1977-08,-6.988,,3318.650,,1765.564,,449.912,,-572.024,,8922.178,,-1055.701,,-349.973,,-714.693,,1284.751,,1556.472,,-13.687,,-1553.086,,-131.227,,-118.861,,139.063,,-10.121,,10478.649,,-,Nothing exists,-602.403,,-75.767,,-36.524,,1194.763,,-83.836,,834.838,
1977-09,-676.668,,2888.154,,1761.447,,-711.511,,-130.843,,9331.367,,-578.917,,-212.085,,189.661,,1065.012,,2044.295,,180.269,,-1126.708,,681.080,,78.914,,412.367,,61.320,,11375.663,,-,Nothing exists,-372.841,,583.378,,-20.877,,991.284,,76.831,,1776.523,
1977-10,28.844,,2226.902,,1681.766,,343.796,,-515.177,,9285.931,,-819.089,,-650.765,,1162.874,,1113.767,,3163.652,,193.758,,-545.136,,-156.760,,1234.167,,177.780,,250.126,,12449.583,,-,Nothing exists,2143.224,,-966.240,,-14.110,,996.869,,263.504,,769.970,
1977-11,-70.622,,1863.473,,1523.711,,361.099,,-1031.383,,9685.179,,-838.751,,-407.539,,460.153,,1173.692,,1644.240,,148.603,,-339.762,,-825.563,,1277.746,,153.616,,65.188,,11329.418,,-,Nothing exists,826.826,,-348.011,,-18.661,,992.367,,272.341,,812.593,
1977-12,-77.198,,2512.936,,1719.374,,-91.685,,-2089.875,,9926.704,,-740.814,,-443.440,,1289.928,,1073.266,,2478.803,,315.530,,-793.562,,-1756.404,,3097.951,,239.470,,-33.678,,12405.507,,-,Nothing exists,852.742,,481.692,,-44.506,,980.284,,187.168,,1164.950,
1978-01,-43.985,,1934.071,,1456.649,,490.210,,176.305,,9140.114,,-1126.889,,165.341,,1310.408,,1333.017,,1688.840,,211.020,,-477.422,,321.827,,1230.978,,257.176,,-307.895,,10828.954,,-,Nothing exists,574.738,,744.498,,-8.828,,1384.065,,-266.877,,842.807,
1978-02,-65.171,,1888.270,,1415.211,,316.587,,-852.743,,8911.707,,-760.005,,-431.557,,661.692,,1234.277,,1810.279,,181.479,,-473.059,,-114.430,,1152.154,,134.676,,180.802,,10721.985,,-,Nothing exists,893.802,,-198.766,,-33.344,,894.681,,-241.585,,917.690,
1978-03,-699.722,,2654.586,,1737.491,,486.012,,297.790,,9618.122,,-831.095,,681.566,,1060.224,,1358.226,,2702.840,,9.434,,-917.095,,-144.348,,820.216,,140.837,,-67.216,,12320.962,,-,Nothing exists,1440.662,,-344.288,,-36.150,,971.932,,460.294,,872.214,
1978-04,78.392,,2132.566,,1401.077,,588.075,,-268.877,,9857.862,,-916.421,,984.493,,-604.293,,1366.788,,1802.007,,276.427,,-731.488,,-1404.557,,-920.239,,172.558,,308.397,,11659.869,,-,Nothing exists,742.173,,-1310.630,,-35.835,,1088.979,,72.796,,778.713,
1978-05,-190.021,,2286.501,,1566.776,,464.208,,198.298,,9351.291,,-1074.302,,-2.523,,118.992,,1399.020,,1913.451,,361.521,,-719.725,,662.509,,-1260.275,,168.664,,819.449,,11264.742,,-,Nothing exists,583.632,,-430.183,,-34.456,,1242.966,,-271.668,,934.813,
1978-06,-228.083,,2974.792,,1910.028,,316.428,,822.828,,10248.158,,-833.540,,357.812,,1866.704,,1379.597,,2307.793,,436.745,,-1064.764,,345.815,,567.756,,195.771,,39.375,,12555.950,,-,Nothing exists,725.917,,1180.153,,-39.366,,1029.311,,347.284,,1063.169,
1978-07,-1072.642,,3402.409,,1971.463,,359.620,,-2465.027,,9454.584,,-780.521,,-634.423,,-747.792,,1514.502,,1276.893,,42.559,,-1430.946,,-867.429,,1310.131,,291.074,,364.545,,10731.478,,-,Nothing exists,-574.954,,-128.598,,-44.240,,1071.595,,109.468,,1154.883,
1978-08,-348.981,,3491.389,,1899.545,,491.522,,-1586.360,,9021.064,,-1005.425,,-1213.996,,487.170,,1344.156,,2364.613,,234.185,,-1591.843,,-79.516,,1944.394,,155.347,,-105.050,,11385.678,,-,Nothing exists,258.868,,244.788,,-16.486,,1160.772,,56.132,,852.634,
1978-09,-239.375,,3439.735,,1879.337,,700.808,,-993.930,,9497.836,,-846.661,,1643.797,,166.136,,1461.394,,2475.828,,11.009,,-1560.397,,-2455.658,,1527.572,,126.640,,-378.515,,11973.664,,-,Nothing exists,769.578,,-562.603,,-40.838,,973.301,,57.305,,760.586,
1978-10,228.044,,2483.616,,1746.371,,706.951,,-2016.732,,10387.761,,-681.672,,-1456.090,,1707.482,,1500.874,,2642.417,,335.987,,-737.245,,-1284.824,,3994.821,,487.665,,-606.594,,13030.177,,-,Nothing exists,1930.451,,-186.129,,-36.840,,1169.336,,496.139,,793.923,
1978-11,-1520.882,,2111.783,,1571.753,,259.871,,-1167.900,,10305.635,,-684.046,,-331.848,,1881.870,,1429.727,,2306.905,,136.384,,-540.030,,483.171,,3425.878,,210.838,,-512.492,,12612.540,,-,Nothing exists,1342.700,,572.984,,-33.813,,894.884,,201.659,,1169.856,
1978-12,-292.072,,2774.609,,1885.735,,387.393,,-1533.637,,9934.268,,-1012.147,,2499.566,,580.330,,1440.316,,2553.872,,566.400,,-888.874,,-3814.594,,1137.130,,199.847,,410.438,,12488.140,,-,Nothing exists,1040.244,,-413.436,,-46.478,,1211.994,,73.463,,1052.923,
1979-01,50.925,,2209.618,,1566.260,,508.004,,1419.542,,9997.785,,-942.915,,260.926,,348.032,,1723.433,,1220.517,,350.920,,-643.359,,1258.674,,-1361.659,,220.342,,-60.771,,11218.302,,-,Nothing exists,142.247,,191.371,,14.414,,1163.258,,-150.983,,1215.429,
1979-02,309.262,,2092.620,,1607.303,,431.101,,671.686,,9747.403,,-949.313,,-172.731,,-736.140,,1515.640,,1898.697,,253.103,,-485.317,,1136.815,,-1945.553,,169.396,,284.624,,11646.100,,-,Nothing exists,895.168,,-1592.147,,-39.160,,1118.709,,-601.661,,1084.539,
1979-03,-1176.475,,2688.850,,1673.746,,406.515,,1829.951,,11723.300,,-866.308,,1983.527,,1043.843,,1384.196,,2214.380,,165.309,,-1015.104,,933.511,,-1104.815,,155.293,,153.397,,13937.680,,-,Nothing exists,739.484,,348.343,,-43.984,,1021.601,,89.389,,977.681,
1979-04,134.373,,2669.964,,1561.415,,467.980,,229.513,,10685.459,,-832.192,,975.363,,-245.681,,1574.579,,1992.858,,-132.261,,-1108.549,,-1116.040,,-654.801,,247.583,,311.868,,12678.317,,-,Nothing exists,520.097,,-724.372,,-41.406,,1079.775,,235.817,,1106.599,
1979-05,-410.746,,2658.820,,1673.403,,418.071,,2486.384,,12082.375,,-961.628,,1476.203,,32.867,,1618.259,,1303.080,,166.387,,-985.416,,1169.813,,-2428.804,,181.229,,-191.100,,13385.455,,-,Nothing exists,-225.894,,293.285,,-34.523,,1142.856,,251.113,,1200.189,
1979-06,791.332,,3499.070,,2017.189,,162.111,,-3053.075,,11411.092,,-904.515,,-793.715,,-1377.785,,1547.988,,1065.343,,386.361,,-1481.881,,-2216.077,,1281.117,,212.001,,7.813,,12476.436,,-,Nothing exists,-1158.942,,-156.937,,-61.906,,1116.516,,-834.615,,1385.877,
1979-07,545.341,,3865.508,,2089.387,,368.773,,-1632.871,,12462.533,,-931.844,,-1233.276,,-1431.828,,1874.176,,778.113,,50.497,,-1776.121,,-1975.149,,895.801,,309.190,,-745.255,,13240.646,,-,Nothing exists,-1561.079,,173.014,,-43.763,,1241.034,,1030.213,,1505.402,
1979-08,11.731,,3919.812,,1948.106,,154.834,,208.244,,11524.010,,-1074.473,,-419.981,,-1412.198,,1559.085,,660.268,,241.220,,-1971.705,,641.184,,-1324.039,,218.719,,-537.623,,12184.278,,-,Nothing exists,-2231.076,,876.460,,-57.582,,1293.192,,-24.690,,1404.251,
1979-09,930.937,,3587.026,,2053.358,,203.341,,-5468.169,,11081.506,,-951.049,,483.485,,-1396.462,,1282.328,,1380.551,,303.975,,-1533.669,,-7252.742,,4087.416,,120.292,,-319.685,,12462.057,,-,Nothing exists,-900.826,,-378.746,,-116.891,,1071.341,,370.152,,1078.987,
1979-10,-127.740,,2936.635,,1942.109,,474.922,,-422.774,,13409.522,,-859.189,,412.029,,195.741,,1652.797,,1118.541,,437.260,,-994.526,,-901.668,,137.572,,235.121,,43.683,,14528.063,,-,Nothing exists,-260.253,,602.090,,-146.096,,1094.310,,194.605,,1177.875,
1979-11,-1075.525,,2501.557,,1845.777,,108.180,,2439.749,,12957.979,,-979.266,,38.611,,123.048,,1352.620,,1323.081,,630.909,,-655.779,,3573.427,,-3617.973,,182.328,,670.363,,14281.061,,-,Nothing exists,-203.784,,390.706,,-63.874,,1161.594,,-96.764,,1244.439,
1979-12,222.341,,3037.629,,2077.003,,203.927,,-4352.226,,12215.684,,-1202.310,,1237.442,,-1635.720,,1612.303,,801.667,,557.641,,-960.626,,-6275.923,,2695.238,,219.323,,-536.374,,13017.351,,-,Nothing exists,-1157.341,,-380.208,,-98.171,,1421.633,,463.913,,1408.375,
1980-01,126.913,,2898.992,,1926.869,,716.713,,128.756,,13378.075,,-1362.642,,-1448.079,,-842.452,,1872.903,,843.567,,451.650,,-972.123,,2476.496,,-2332.554,,227.265,,909.697,,14221.642,,-,Nothing exists,-774.487,,86.523,,-154.488,,1589.908,,-1026.574,,1156.190,
1980-02,134.531,,2540.022,,1943.141,,-99.620,,-269.317,,13891.364,,-889.907,,-872.903,,-1052.106,,1663.424,,689.725,,654.240,,-596.881,,437.132,,-2007.139,,252.954,,570.110,,14581.088,,-,Nothing exists,-896.683,,-90.831,,-64.592,,1142.861,,31.923,,1763.044,
1980-03,-711.453,,3230.827,,1973.177,,368.091,,-282.948,,13955.118,,-707.055,,440.936,,-1055.595,,1523.711,,1700.983,,161.075,,-1257.650,,1386.499,,-1129.836,,174.523,,196.114,,15656.100,,-,Nothing exists,104.368,,-952.058,,-207.906,,881.579,,-1398.929,,1155.620,
1980-04,396.501,,3142.504,,1904.509,,181.115,,739.880,,13927.651,,-875.034,,855.525,,-2243.431,,1453.908,,882.843,,333.907,,-1237.995,,355.113,,-3531.720,,245.878,,214.502,,14810.494,,-,Nothing exists,-1049.071,,-1043.951,,-150.409,,1120.912,,-867.259,,1272.793,
1980-05,-113.077,,3029.360,,2028.772,,599.538,,63.568,,13785.421,,-952.826,,751.735,,46.302,,1794.263,,666.592,,416.935,,-1000.588,,-388.608,,-390.149,,167.403,,-44.053,,14452.013,,-,Nothing exists,-687.284,,823.594,,-90.008,,1120.229,,-186.481,,1194.726,
1980-06,326.365,,3685.417,,2228.714,,484.571,,-1332.968,,13652.965,,-876.698,,-523.029,,-148.314,,2005.192,,504.408,,291.035,,-1456.703,,-372.577,,931.649,,220.349,,-38.030,,14157.373,,-,Nothing exists,-1344.423,,1634.212,,-438.103,,1097.047,,-763.727,,1520.621,
1980-07,39.382,,4229.373,,2161.408,,214.836,,-2855.929,,14027.333,,-1151.760,,-1356.444,,-1611.746,,1902.584,,594.968,,522.874,,-2067.966,,-403.867,,600.263,,352.142,,121.046,,14622.301,,-,Nothing exists,-2409.922,,853.160,,-54.984,,1503.902,,-1134.999,,1687.748,
1980-08,-239.636,,4292.763,,2057.991,,188.447,,-2960.429,,11841.760,,-1173.610,,-2360.521,,-2997.942,,1712.192,,306.322,,100.948,,-2234.771,,-480.495,,91.428,,217.310,,-229.889,,12148.081,,-,Nothing exists,-2913.613,,-0.134,,-84.195,,1390.920,,120.224,,1523.745,
1980-09,-87.431,,4110.313,,2329.735,,614.051,,202.510,,13505.197,,-987.755,,1194.010,,-678.235,,2004.316,,990.845,,208.201,,-1780.579,,-796.020,,-1397.386,,159.047,,308.439,,14496.042,,-,Nothing exists,-1163.438,,587.114,,-101.912,,1146.802,,-108.048,,1390.266,
1980-10,74.556,,3309.154,,1994.869,,343.783,,-227.941,,14757.809,,-938.123,,364.748,,-1009.290,,1769.586,,849.702,,416.122,,-1314.285,,1282.104,,-1889.575,,229.972,,692.104,,15607.511,,-,Nothing exists,-1058.923,,133.295,,-83.662,,1168.096,,-1949.348,,1425.803,
1980-11,-806.082,,2639.806,,1790.461,,186.946,,-306.130,,13637.839,,-932.976,,-285.063,,62.558,,1832.525,,639.741,,338.039,,-849.344,,2038.233,,-470.794,,185.362,,501.443,,14277.580,,-,Nothing exists,-955.633,,1097.900,,-79.709,,1118.339,,-1253.218,,1645.579,
1980-12,-1642.957,,3361.140,,2261.383,,29.134,,-2345.778,,13967.268,,-1105.708,,1787.499,,-2024.410,,1681.845,,1206.741,,559.011,,-1099.758,,-574.995,,-77.660,,217.716,,-159.982,,15174.008,,-,Nothing exists,-969.591,,-1010.707,,-44.111,,1323.424,,-1915.324,,1652.711,
1981-01,-837.556,,3117.204,,1934.878,,361.359,,-4256.239,,13621.380,,-1227.297,,-3285.947,,-2920.721,,1807.102,,-368.535,,445.710,,-1182.326,,233.709,,615.794,,170.035,,274.015,,13252.845,,-,Nothing exists,-2416.798,,-487.474,,-16.448,,1397.332,,-366.445,,1445.743,
1981-02,-1027.662,,2961.480,,1886.239,,624.891,,-907.193,,13905.108,,-1360.565,,2349.282,,-1756.538,,2425.208,,1473.783,,645.074,,-1075.242,,-825.079,,-2038.688,,147.241,,544.270,,15378.891,,-,Nothing exists,-337.132,,-1355.120,,-64.286,,1507.806,,-1403.734,,1800.317,
1981-03,224.596,,3408.455,,1997.024,,227.198,,-5656.445,,16233.752,,-621.663,,-1569.129,,-1358.174,,1813.474,,583.323,,293.791,,-1411.431,,-2720.661,,4388.671,,178.858,,-384.192,,16817.075,,-,Nothing exists,-1222.573,,-54.810,,-80.792,,800.521,,-1591.250,,1586.276,
1981-04,262.862,,3357.413,,2137.647,,342.407,,313.130,,14664.557,,-1022.381,,-845.049,,2650.404,,1921.891,,1956.728,,322.784,,-1219.766,,1562.419,,1680.368,,169.472,,334.121,,16621.285,,-,Nothing exists,56.988,,2682.269,,-88.854,,1191.853,,-667.101,,1579.484,
1981-05,-402.635,,3300.079,,2194.695,,199.473,,-2865.250,,14366.056,,-1040.307,,-1017.550,,-736.868,,1877.203,,1073.735,,380.735,,-1105.384,,430.025,,1857.564,,168.642,,-109.918,,15439.791,,-,Nothing exists,-872.482,,221.196,,-85.582,,1208.949,,-1875.090,,1677.730,
1981-06,-593.300,,4147.898,,2367.381,,-76.512,,-1193.815,,14829.574,,-1009.870,,-6.712,,-1257.852,,2021.904,,1227.457,,-5.174,,-1780.518,,445.675,,-267.465,,280.834,,208.602,,16057.031,,-,Nothing exists,-1639.443,,459.044,,-77.453,,1290.704,,-1039.478,,2098.417,
1981-07,1351.282,,4986.724,,2597.507,,12.398,,-1508.440,,15882.266,,-1267.702,,-842.829,,-1859.186,,1917.564,,2153.574,,560.116,,-2389.217,,275.564,,-667.564,,250.338,,-243.298,,18035.840,,-,Nothing exists,-1490.947,,-270.123,,-98.116,,1518.039,,-2292.457,,1905.166,
1981-08,-163.630,,4885.192,,2433.830,,414.166,,-2014.780,,13673.932,,-1374.124,,-1700.569,,-3626.087,,2154.091,,482.150,,558.939,,-2451.362,,1674.566,,-2166.120,,131.790,,-4.126,,14156.082,,-,Nothing exists,-2929.169,,-605.339,,-91.579,,1505.913,,-1825.148,,1739.924,
1981-09,-56.745,,4538.214,,2691.188,,424.166,,1102.078,,14924.822,,-1025.549,,1508.506,,1919.224,,2077.689,,2381.116,,158.472,,-1847.026,,-735.859,,612.606,,166.384,,46.068,,17305.939,,-,Nothing exists,-67.292,,2068.843,,-82.327,,1191.932,,386.177,,1653.523,
1981-10,103.176,,3719.829,,2457.642,,370.595,,4396.215,,15478.222,,-1081.093,,1299.069,,1892.336,,2096.065,,3916.158,,685.108,,-1262.187,,2913.363,,-3551.393,,178.065,,362.407,,19394.380,,-,Nothing exists,1943.473,,50.182,,-101.318,,1259.159,,80.607,,1725.470,
1981-11,69.408,,3071.352,,2526.088,,213.363,,-361.247,,15389.130,,-1055.077,,-931.293,,905.031,,1972.704,,2425.161,,633.082,,-545.264,,1323.523,,-309.910,,189.072,,943.105,,17814.292,,-,Nothing exists,1038.183,,-65.815,,-67.338,,1244.149,,-822.885,,1759.341,
1981-12,-44.752,,3723.839,,2757.738,,538.128,,1003.686,,14721.911,,-821.831,,513.859,,1894.557,,2454.816,,3533.428,,873.784,,-966.101,,-234.898,,-477.595,,267.047,,494.682,,18255.340,,-,Nothing exists,2283.623,,-324.958,,-64.108,,1088.878,,769.478,,1916.689,
1982-01,-120.250,,3379.998,,2176.662,,410.102,,-2158.469,,14554.160,,-1111.916,,-1018.537,,-1921.630,,2247.620,,1111.101,,440.519,,-1203.336,,-1151.044,,-1050.661,,194.795,,846.981,,15665.261,,-,Nothing exists,-794.049,,-1098.970,,-28.611,,1306.711,,131.363,,1837.518,
